INVESTIQ PROPERTY ANALYSIS REPORT,,
Generated,2025-12-19T22:07:06.612139,
Address,"953 Banyan Dr, Delray Beach, FL 33483",
Data Quality Score,79.5%,
,,
PROPERTY DETAILS,Value,Source
Property Type,Single Family,rentcast
Bedrooms,5,rentcast
Bathrooms,5.5,rentcast
Square Footage,5822,rentcast
Lot Size,9718,rentcast
Year Built,2006,rentcast
Stories,2,rentcast
,,
FEATURES,Value,Source
Has Pool,True,rentcast
Has Garage,True,rentcast
Garage Spaces,None,unknown
Has Heating,True,rentcast
Heating Type,Forced Air,rentcast
Has Cooling,True,rentcast
Cooling Type,Commercial,rentcast
Exterior Type,Stucco,rentcast
Roof Type,Tile,rentcast
View Type,Water,rentcast
,,
VALUATIONS,Value,Source
Current AVM Estimate,"$4,273,400",zillow
RentCast AVM,$0,rentcast
Zillow Zestimate,"$4,273,400",zillow
Value Range Low,$0,
Value Range High,$0,
Last Sale Price,"$4,460,000",
Last Sale Date,2024-06-24T00:00:00+00:00,
,,
RENTAL DATA,Value,Source
Monthly Rent Estimate,"$26,572",zillow
RentCast Rent,$0,rentcast
Zillow Rent Zestimate,"$26,572",zillow
Rent Range Low,$0,
Rent Range High,$0,
,,
TAX INFORMATION,Value,Source
Annual Property Tax,"$64,088",
Tax Assessed Value,"$3,498,890",
Tax Year,2024,
,,
LOCATION SCORES,Value,Source
Walk Score,None,zillow
Transit Score,None,zillow
Bike Score,None,zillow
School Rating Avg,None,zillow
,,
INVESTMENT METRICS,Value,Notes
Gross Rent Multiplier,13.40,
Estimated Cap Rate,4.84%,
Price Per Sqft,$734,
Rent Per Sqft,4.56,
Estimated Monthly Cash Flow,-2217.70,
Estimated Cash On Cash Roi,-2.22%,
Vs Market Median Pct,257.61%,
Vs Market Value Pct,-12.15%,
,,
DATA QUALITY,Status,
Quality Score,79.5%,
Missing Fields,None,
Conflict Fields,None,
