Category,Assumption,Default Value,Unit/Format
Financing,Down Payment,20,%
Financing,Interest Rate,6,%
Financing,Loan Term,30,years
Financing,Closing Costs,3,%
Long-term Rental (LTR),Purchase Price,(Breakeven X 95%),$
Operating Expenses,Vacancy Rate,1,%
Operating Expenses,Property Management,0,%
Operating Expenses,Maintenance,5,%
Operating Expenses,Insurance (Annual),1,%
Operating Expenses,Utilities (Monthly),100,$
Operating Expenses,Landscaping (Annual),0,$
Operating Expenses,Pest Control (Annual),200,$
Short-Term Rental (STR),Purchase Price,(Breakeven X 95%),$
Short-Term Rental (STR),Platform Fees,15,%
Short-Term Rental (STR),STR Management,10,%
Short-Term Rental (STR),Cleaning Cost per Turnover,150,$
Short-Term Rental (STR),Cleaning Fee Revenue,75,$
Short-Term Rental (STR),Avg Length of Stay,6,days
Short-Term Rental (STR),Supplies (Monthly),100,$
Short-Term Rental (STR),Additional Utilities (Monthly),0,$
Short-Term Rental (STR),Furniture Setup Cost,6000,$
Short-Term Rental (STR),STR Insurance (Annual),1,%
Rehab,Renovation Budget,5,%
Rehab,Contingency,5,%
Rehab,Holding Period,4,months
Rehab,Monthly Holding Costs,1,%
BRRRR,Refinance LTV,75,%
BRRRR,Refinance Interest Rate,6,%
BRRRR,Refinance Term,30,years
BRRRR,Refinance Closing Costs,3,%
BRRRR,Purchase Price,(Breakeven X 95%),$
BRRRR,Post-Rehab Rent Increase,10,%
Fix & Flip,Hard Money LTV,90,%
Fix & Flip,Hard Money Rate,12,%
Fix & Flip,Selling Costs,6,%
Fix & Flip,Holding Period,6,months
House Hack,Purchase Price,(Breakeven X 95%),$
House Hack,FHA Down Payment,3.5,%
House Hack,FHA MIP Rate,0.85,%
House Hack,Units Rented Out,2,units
House Hack,Room Rent (Monthly),((AVM Rent/rooms) X Units Rented Out),$
House Hack,Owner Unit Market Rent,(AVM Rent/bedrooms),$
Wholesale,Assignment Fee,15000,$
Wholesale,Marketing Costs,500,$
Wholesale,Earnest Money Deposit,1000,$
Wholesale,Days to Close,45,days
Wholesale,Target Purchase Discount,30,%
Growth Projections,Appreciation Rate,5,%
Growth Projections,Rent Growth Rate,5,%
Growth Projections,Expense Growth Rate,3,%
Growth Projections,Selling Costs,6,%
