Campaign,Campaign Type,Campaign Status,Budget,Budget type,Bid Strategy Type,Networks,Languages,Location,Ad Group,Ad Group Type,Ad Group Status,Max CPC,Keyword,Criterion Type,Status,Ad type,Final URL,Path 1,Path 2,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 1 position,Headline 2 position,Description 1,Description 2,Description 3,Description 4,Labels
find-investment-property,Search,Paused,15.00,Daily,Manual CPC,Google search,en,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,for-listicles
find-investment-property,,,,,,,,,find-investment-property,Standard,Enabled,2.50,,,,,,,,,,,,,,,,,,,,,,,,,,
find-investment-property,,,,,,,,,find-investment-property,,,2.50,find investment property,Exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,
find-investment-property,,,,,,,,,find-investment-property,,,2.50,find investment property,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
find-investment-property,,,,,,,,,find-investment-property,,,2.50,how to find investment properties,Exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,
find-investment-property,,,,,,,,,find-investment-property,,,2.50,how to find investment properties,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
find-investment-property,,,,,,,,,find-investment-property,,,2.50,investment property search,Exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,
find-investment-property,,,,,,,,,find-investment-property,,,2.50,investment property search,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
find-investment-property,,,,,,,,,find-investment-property,,,2.50,find off market properties,Exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,
find-investment-property,,,,,,,,,find-investment-property,,,2.50,find off market properties,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
find-investment-property,,,,,,,,,find-investment-property,,,2.50,off market investment properties,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
find-investment-property,,,,,,,,,find-investment-property,,,2.50,foreclosure listings map,Exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,
find-investment-property,,,,,,,,,find-investment-property,,,2.50,foreclosure listings map,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
